SampleID,exp_nr,Cultivar,rep,Soil_type,Functinoal_group,Select_FT,shoot_length_cm,root_length_cm,shoot_dry_weight_g,root_dry_weight_g,leaf_metabolite_richness,leaf_metabolite_evenness,leaf_metabolite_composition_axis1,root_exudate_richness_median,root_exudate_shannon_median,root_exudate_evenness_median,root_exudate_composition_axis1_medain,Bac_richness,Bac_shannon,Bac_simpson,Phylogenetic_diversity,Bac_evenness,Bac_axis1,Bac_axis2,Fun_richness,Fun_shannon,Fun_simpson,Fun_evenness,Fun_axis1,Fun_axis2
S30_16S,30,Desiree,1,rhizo,a,a,17,35,0.541,0.112831574,84,0.886798586,0.125199191,22,2.473531697,0.800225728,-0.18218285,1234,6.416879891,0.993042033,86.5509506,0.901498354,0.044881185,0.11060846,439,4.691883382,0.97981705,0.771120689,0.041146481,-0.034389811
S31_16S,31,Moni,1,rhizo,b,no,17,30,0.421,0.068827923,83,0.919827609,0.022306224,28,2.822317811,0.846982171,0.157624357,1014,6.234801577,0.995114796,81.78914684,0.900767043,0.179340702,-0.168787575,257,2.920897937,0.838722574,0.526375543,-0.135272757,0.35880315
S32_16S,32,Cobra,1,rhizo,a,no,15,26.5,0.442,0.100279142,84,0.939635191,-0.0971022,14,2.118172457,0.802624647,-0.34817572,838,6.096742215,0.985746933,67.51070889,0.90576821,0.103380404,-0.038825184,402,4.444252776,0.972809642,0.74114705,-0.000609669,0.048443267
S33_16S,33,Bihoro,1,rhizo,a,a,13.5,24.5,0.428,0.058074721,82,0.933943067,0.043318829,20,2.640927385,0.881563219,0.007800925,974,6.211170705,0.994480314,77.46937549,0.902601288,0.146560841,-0.041969566,435,4.498449137,0.97312391,0.740443279,-0.098803632,0.064639698
S34_16S,34,Fianna,1,rhizo,d,no,15.5,38,0.463,0.09008479,82,0.911603399,0.125045303,17,2.31859947,0.818363882,-0.294137171,1138,6.413368529,0.990578848,84.31171847,0.911374643,0.111781049,0.02270291,410,4.043845653,0.927761163,0.672164231,-0.053909326,0.094639086
S35_16S,35,King Edward Vii,1,rhizo,b,no,23,23,0.564,0.051850746,82,0.919372663,-0.078291817,33,3.117210976,0.891521303,0.202140807,939,6.215902939,0.996369985,69.01357347,0.908118408,0.047816863,-0.02850867,418,4.473118435,0.975051233,0.741136972,0.053571896,-0.015219729
S36_16S,36,Krab,1,rhizo,b,b,15,27,0.519,0.062752519,83,0.903488347,0.020655275,46,3.595127969,0.939008802,0.437707303,1074,6.251154788,0.994738262,76.68771974,0.895690596,-0.059585393,-0.007871886,449,4.69248941,0.978871924,0.768375933,0.09306186,-0.049706714
S37_16S,37,Zenia,1,rhizo,b,no,15,35,0.564,0.102523103,82,0.92235832,-0.036048069,28,2.736239736,0.821150001,0.120992751,888,6.012713758,0.996488744,69.82545929,0.885658975,-0.137852947,-0.064477035,394,4.269982385,0.959765803,0.714479864,0.077116914,-0.024652572
S38_16S,38,Arran Banner,1,rhizo,a,no,22,31,0.473,0.105710199,83,0.888549764,0.021572399,27,2.700076494,0.819238513,-0.041939306,1028,6.344935563,0.990997299,78.05974694,0.914866136,0.060854223,-0.055056097,445,4.47144475,0.966907311,0.733255212,-0.122424637,0.004110807
S39_16S,39,Danuta,1,rhizo,c,c,15,35,0.251,0.090597213,79,0.893439001,0.15461813,44,3.46479079,0.915596501,0.436372034,1048,6.323151084,0.996023447,76.92167448,0.909199055,0.089757225,-0.051860645,415,3.87715384,0.900999179,0.643161033,-0.247789473,-0.112164531
